Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,KB/sec,Avg. Bytes
2905 /jump/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=972433933,10,302,277,379,27.59,0.00%,2.3,2.31,1021.0
2910 /addyn%7C3.0%7C5303%7C2799351%7C0%7C225%7CADTECH;loc=300;key=key1%20key2%20key3%20key4;group=%5Bgroup%5D;misc=1431972436722,10,592,566,650,23.42,0.00%,2.2,2.26,1047.0
2912 /usersync,10,538,450,766,85.95,100.00%,2.3,11.02,4894.0
2914 /getuid,10,566,444,858,134.32,0.00%,2.4,6.71,2910.5
2913 /j,10,400,323,583,103.46,0.00%,2.5,6.59,2698.0
2919 /server/ads.js,10,207,156,314,49.11,0.00%,2.6,11.18,4395.8
2921 /pixel.gif,10,34,27,51,7.31,0.00%,2.7,0.84,318.0
2922 /usersync,10,502,453,554,28.55,100.00%,2.4,11.53,4896.2
2920 /server/ddc.htm,10,49,42,67,6.60,0.00%,2.7,15.39,5737.0
2924 /setuid,10,44,36,61,7.75,0.00%,2.8,1.38,512.0
2930 /sync,10,75,68,91,6.92,0.00%,2.7,1.44,540.0
2938 /adscores/g.js,10,200,191,213,7.02,0.00%,2.6,1.25,484.0
2926 /w/1.0/sd,10,132,114,153,14.05,0.00%,2.7,1.93,733.0
2928 /mapuser,10,97,86,105,5.59,0.00%,2.7,1.36,509.0
2931 /partner,10,135,118,168,12.78,0.00%,2.7,3.22,1209.8
2927 /getuid,10,248,211,284,23.73,0.00%,2.7,4.81,1833.0
2923 /AdServer/Pug,10,74,69,95,7.03,0.00%,2.9,2.34,836.1
2940 /upi/pid/0Xf30sUm,10,301,251,370,35.91,0.00%,2.7,3.94,1469.6
2945 /idsync/ex/receive,10,148,136,166,9.97,0.00%,2.9,2.80,986.0
2936 /e/turn_sync.xgi,10,95,86,106,5.82,0.00%,3.0,3.24,1117.0
2953 /turn_user_sync,10,146,132,166,9.85,0.00%,2.9,2.87,997.2
2934 /partner/651395.png,10,93,81,101,6.59,0.00%,3.0,1.44,490.0
2925 /pixel,10,236,220,270,14.06,0.00%,2.9,5.12,1822.0
2935 /r/dd/id/L2NzaWQvMS9jaWQvMjY0OTcyNDEvdC8w/url/http%3A%2F%2Fd.agkn.com%2Fpixel%2F2189%2F%3Fsync%3D103%26che%3D%5Bcachebuster%5D%26uuid%3D%24!%7BTURN_UUID%7D,10,184,171,203,8.82,0.00%,2.9,3.35,1177.1
2952 /pixel,10,277,260,297,11.75,0.00%,2.8,5.80,2106.0
2944 /sync/img,10,205,169,250,27.45,0.00%,2.9,5.95,2106.5
2947 /pixel,10,172,153,201,11.80,0.00%,2.9,4.32,1536.0
2954 /csx,10,247,200,517,90.34,0.00%,2.9,4.26,1529.0
2942 /atx/sync/turn2/turn2/3940877190822064720,10,2303,123,21334,6344.22,10.00%,.4,0.45,1133.0
2949 /rum,10,95,87,113,8.05,0.00%,.4,0.48,1213.0
2951 /r/dd/id/L2NzaWQvMS9jaWQvMjM2NTYzMjkvdC8y/url/http%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D470%26dpuuid%3D%24!%7BTURN_UUID%7D,10,172,0,252,63.84,10.00%,.4,0.68,1699.1
2948 /tap.php,10,105,86,164,22.17,0.00%,.4,0.34,848.0
2937 /r/du/id/L2NzaWQvMS9zcGlkLzU/url/http%3A%2F%2Fdpm.demdex.net%2Fibs%3Adpid%3D375%26dpuuid%3DPARTNER_UUID,10,139,1,195,48.97,10.00%,.4,0.68,1699.4
2946 /r/du/id/L2NzaWQvMS9tcGlkLzM3NDkzMTAz/mpuid/OtherStore/url/https%3A%2F%2Fanalytics.twitter.com%2Fi%2Fadsct%3Fp_user_id%3D%24!%7BTURN_UUID%7D%26p_id%3D38520,10,405,361,485,37.04,0.00%,.4,0.52,1313.2
2967 /e/xrefid.xgi,10,35,27,46,6.27,0.00%,.4,0.22,548.0
2955 /getuid,10,326,1,606,219.94,40.00%,.4,1.27,3150.2
2929 /merge,10,70,58,97,11.36,0.00%,.4,0.24,602.0
2933 /ad,10,155,128,185,19.51,0.00%,.4,0.28,698.0
2941 /r/dm/mkt/44/mpid//mpuid/3940877190822064720,10,150,131,169,14.29,0.00%,.4,0.19,473.0
2939 /r/dm/mkt/73/mpid//mpuid/3940877190822064720,10,77,66,94,9.79,0.00%,.4,0.19,473.0
2959 /sync,10,36,31,49,4.94,0.00%,.4,0.14,344.0
2958 /match,10,67,54,102,15.21,0.00%,.4,0.18,451.8
2956 /t.gif,10,182,156,219,17.60,0.00%,.4,1.05,2606.8
2957 /,10,1358,132,6227,2012.23,0.00%,.4,0.37,927.0
2960 /iframe/2649/,10,111,100,160,16.79,0.00%,.4,0.37,911.9
2966 /cms/v1,10,106,1,170,48.52,30.00%,.4,0.64,1588.3
2950 /redir/,10,224,211,260,13.36,0.00%,.4,0.24,593.3
2968 /turn_user_sync,10,99,38,132,29.28,20.00%,.4,0.51,1256.4
2961 /e/v1/pixel/networks/1/partners/55784/users/3940877190822064720,10,81,74,93,5.19,0.00%,.4,0.14,341.0
2965 /r/du/id/L2NzaWQvMS9tcGlkLzI2NDIyMjM5/mpuid/-4984067616568889114,10,100,65,195,40.86,0.00%,.4,0.19,467.0
2964 /r/dd/id/L2NzaWQvMS9jaWQvMTYyNjUzMzQvdC8y/dpuid/007001015390003276955,10,81,63,147,23.32,0.00%,.4,0.19,467.0
2969 /r/du/id/L2NzaWQvMS9tcGlkLzI3MDg5NDgx/mpuid/be5a2451-d18d-11e4-a390-005056a201dc,10,78,66,97,10.11,0.00%,.4,0.19,467.0
2974 /ibs:dpid=375&dpuuid=3940877190822064720,10,71,56,165,31.61,0.00%,.4,0.48,1181.2
2972 /pixel/2189/,10,121,100,206,31.09,0.00%,.4,0.28,683.0
2975 /ibs:dpid=470&dpuuid=3940877190822064720,10,68,58,102,13.10,0.00%,.4,0.48,1181.4
2970 /r/du/id/L2NzaWQvMS9zcGlkLzM/url/http%3A%2F%2Fs.thebrighttag.com%2Fcs%3Fbtt%3DBr6TO1Bbh96z5Wgm50qJid0ZoRacN1K9AhL7k-USeb8%26tp%3DrWc5RFi%26uid%3DPARTNER_UUID,10,210,126,429,101.21,0.00%,.4,0.35,878.0
2962 /r/bd,10,79,66,90,8.71,0.00%,.4,0.19,467.0
2971 /r/du/id/L2NzaWQvMS9tcGlkLzE4MDM3MTM5/mpuid/7589550c-6f5e-4400-97ce-7f1a76938626,10,82,62,150,23.94,0.00%,.4,0.19,467.0
2943 /site/4499,10,78,59,90,9.36,0.00%,.4,0.70,1732.2
2932 /bh/rtset,10,331,282,432,50.67,0.00%,.4,0.36,900.0
2973 /r/du/id/L2NzaWQvMS9tcGlkLzI0MTMwODU4/rnd/,10,88,64,138,21.28,0.00%,.4,0.19,467.0
2977 /usersync,10,338,0,588,226.31,30.00%,.4,0.68,1683.1
2976 /r/du/id/L2NzaWQvMS9tcGlkLzMwNTU3ODEz/mpuid/TA192e8e27-d18e-11e4-a72e-00163edb0cbc,10,84,64,149,22.89,0.00%,.4,0.19,467.0
2980 /cs,10,75,55,149,28.67,0.00%,.4,0.14,354.0
2981 /adscores/g.pixel,10,395,350,515,42.02,0.00%,.4,0.51,1280.0
2978 /r/cms/id/0/ddc/1/pid/43/uid/,10,81,63,102,11.37,0.00%,.4,0.19,467.0
"2963 /r/dd/id/L2NzaWQvMS9jaWQvMzMxMDg2My90LzI/cat/,,17772/id/L2NzaWQvMS9jaWQvMzMxMTIxNy90LzI/cat/064/dpuid/007001015390003276955",10,86,69,137,19.51,0.00%,.4,0.23,569.0
2979 /r/du/id/L2NzaWQvMS9tcGlkLzMzOTA0ODEz/mpuid/NAX2848342571552136568,10,79,64,135,20.13,0.00%,.4,0.19,467.0
2982 /pixel/6633/,10,165,134,292,44.08,0.00%,.4,0.32,794.0
2984 /content/canAuthor.json,10,90,79,109,7.35,0.00%,.4,0.25,617.0
2985 /1/c816f66e51,10,51,44,77,9.71,0.00%,.4,0.09,217.9
2987 /content/getPageText.json,10,50,43,59,6.24,0.00%,.4,1.78,4405.6
2986 /content/getPageText.json,10,55,36,94,18.95,0.00%,.4,0.30,748.2
2988 /common/IsExternalUser,10,43,38,55,4.54,0.00%,.4,0.23,570.0
2989 /content/getPageText.json,10,42,35,51,4.12,0.00%,.4,0.21,517.6
2991 /__ptq.gif,10,31,28,41,4.06,0.00%,.4,0.11,275.0
2990 /__utm.gif,10,54,51,57,2.10,0.00%,.4,0.16,408.0
2992 /stock/OTCM/quote,10,317,286,436,44.96,0.00%,.4,4.91,12318.1
2994 /addyn/3.0/5303.1/3209808/0/16/ADTECH;loc=100;target=_blank;misc=%5BTIMESTAMP%5D;rdclick=%5BCLICKMACRO%5D,10,48,0,111,43.36,60.00%,.4,0.66,1629.1
2993 /otciq/ajax/showCompanyLogoByCompanyId,10,50,41,77,9.25,0.00%,.4,3.56,8784.0
2995 /addyn/3.0/5303.1/2799329/0/169/ADTECH;loc=100;target=_blank;key=OTCM%2BOTCQX%20U.S.%20Premier%2BCommon%20Stock%2BOTC%20Markets%20Group%20Inc.;grp=%5Bgroup%5D;misc=1431971743995,10,130,93,181,25.47,0.00%,.4,1.05,2607.2
2996 /content.otcmarkets.com/constituents/otcqx_30_list.json,10,24,0,50,19.93,40.00%,.4,0.44,1093.0
2997 /content/getPageText.json,10,48,38,57,5.70,0.00%,.4,1.14,2800.0
2999 /pixel;r=60445337;a=p-B1ry_R3CQS6M9;fpan=0;fpa=P0-605369517-1431627681416;ns=0;ce=1;cm=;je=1;sr=1600x900x24;enc=n;dst=1;et=1431972444372;tzo=240;ref=http%3A%2F%2Fwww.otcmarkets.com%2Fresearch%2Fstock-screener;url=http%3A%2F%2Fwww.otcmarkets.com%2Fstock%2FOTCM%2Fquote;ogl=,10,106,99,140,11.57,0.00%,.4,0.19,474.0
2998 /__utm.gif,10,54,50,60,2.41,0.00%,.4,0.17,408.0
3001 /otciq/ajax/isSecurityUnsolicited,10,51,39,88,17.12,0.00%,.4,0.14,353.0
3000 /otciq/ajax/getTradeAndInside.json,10,75,69,83,4.15,0.00%,.4,0.53,1312.0
3002 /otciq/ajax/getMarketTotals.jsonx,10,45,38,63,7.51,0.00%,.4,0.14,356.4
3005 /otciq/ajax/getAggregateWombatTradesForAllTierGroup.json,10,47,37,72,10.91,0.00%,.4,0.71,1736.0
3007 /common/CountSecuritiesByTierGroup.json,10,45,36,76,12.67,0.00%,.4,0.22,553.0
3003 /adi/N84001.325081OTCMARKETS.COM/B8443801.114637053;sz=1x1;ord=%5Btimestamp%5D,10,83,65,129,22.57,0.00%,.4,1.87,4601.9
3008 /otciq/ajax/getMontage.json,10,68,53,124,20.62,0.00%,.4,3.66,9012.8
